time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
7.2090000000000005,8.0,0.0005201782639520412,0.011477496701450412,6.47490964669552,0.0005201782639520412,0.010957318437498371,6.463432149994069,8
7.2095,8.0,0.0005201782639520786,0.011477496705836261,6.4779600363444505,0.0005201782639520786,0.010957318441884183,6.466482539638614,8
7.21,8.0,0.0005201782639521161,0.01147749671022211,6.481012425993382,0.0005201782639521161,0.010957318446269994,6.469534929283159,8
7.210500000000001,8.0,0.0005201782639521536,0.01147749671460796,6.484066815642313,0.0005201782639521536,0.010957318450655807,6.472589318927705,8
7.211,8.0,0.000520178263952191,0.01147749671899381,6.487123205291244,0.000520178263952191,0.010957318455041618,6.47564570857225,8
7.2115,8.0,0.0005201782639522284,0.011477496723379658,6.490181594940175,0.0005201782639522284,0.01095731845942743,6.478704098216795,8
7.212,8.0,0.0005201782639522658,0.011477496727765508,6.4932419845891065,0.0005201782639522658,0.010957318463813242,6.481764487861341,8
7.2125,8.0,0.0005201782639523033,0.011477496732151357,6.496304374238038,0.0005201782639523033,0.010957318468199053,6.484826877505887,8
7.213,8.0,0.0005201782639523408,0.011477496736537206,6.499368763886969,0.0005201782639523408,0.010957318472584866,6.487891267150432,8
7.2135,8.0,0.0005201782639523782,0.011477496740923056,6.502435153535901,0.0005201782639523782,0.010957318476970677,6.490957656794977,8
7.214,8.0,0.0005201782639524156,0.011477496745308905,6.505503543184832,0.0005201782639524156,0.01095731848135649,6.494026046439523,8
7.2145,8.0,0.000520178263952453,0.011477496749694754,6.508573932833763,0.000520178263952453,0.010957318485742301,6.497096436084068,8
7.215,8.0,0.0005201782639524906,0.011477496754080604,6.511646322482695,0.0005201782639524906,0.010957318490128112,6.500168825728614,8
7.2155000000000005,8.0,0.0005201782639525281,0.011477496758466453,6.514720712131626,0.0005201782639525281,0.010957318494513925,6.50324321537316,8
7.216,8.0,0.0005201782639525655,0.011477496762852302,6.517797101780557,0.0005201782639525655,0.010957318498899736,6.506319605017705,8
7.2165,8.0,0.0005201782639526029,0.011477496767238152,6.520875491429488,0.0005201782639526029,0.01095731850328555,6.50939799466225,8
7.2170000000000005,8.0,0.0005201782639526403,0.011477496771624001,6.52395588107842,0.0005201782639526403,0.01095731850767136,6.512478384306796,8
