sweep_group,engine,version,dt_ms,solref_timeconst_ms,dampratio,solimp_d0,solimp_dwidth_dmax,integrator,solver,iterations_budget,solver_iterations_mean,solver_iterations_max,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_tilt_max_deg,tail_com_jitter_pp_mm,tail_tilt_jitter_pp_deg,settling_time_s,max_contacts,finite,order_preserved,escaped,failure,stepping_wall_s
integrator_x_solver,mujoco,3.12.0,0.5,1.0,1.0,0.95,0.99,implicitfast,Newton,100,1.1807048237940514,7,0.6524931077705447,0.005999198718118599,0.006,0.0008012818814009601,0.025421179572979537,0.0001778173238514702,2.919008657957884e-05,1.169,13,True,True,False,False,0.16706312500173226
integrator_x_solver,mujoco,3.12.0,0.5,1.0,1.0,0.95,0.99,implicitfast,CG,100,13.177205698575357,57,0.6524931230318272,0.005999204214806504,0.006,0.0007957851934957752,0.025421125321523127,0.0001776857377119162,3.080096316733557e-05,1.169,13,True,True,False,False,0.19265237500076182
integrator_x_solver,mujoco,3.12.0,0.5,1.0,1.0,0.95,0.99,RK4,Newton,100,1.4663834041489627,4,0.6781073787690697,0.0059991945644991,0.006,0.0008054355009005226,0.006323816680078211,8.025859925264722e-05,1.2389028425536938e-05,0.199,13,True,True,False,False,0.39988641600939445
integrator_x_solver,mujoco,3.12.0,0.5,1.0,1.0,0.95,0.99,RK4,CG,100,14.89502624343914,64,0.6781073709654176,0.005999165370143135,0.006,0.0008346298568653529,0.00632378025549821,8.066142611392463e-05,1.2111512588583558e-05,0.199,13,True,True,False,False,0.4933978340122849
integrator_x_solver,mujoco,3.12.0,0.5,4.0,1.0,0.95,0.99,Euler,Newton,100,0.9792551862034491,5,2.060789309114082,0.005985852701143296,0.006,0.014147298856704085,0.001751417948158859,1.8548593996685347e-05,5.8139107458209635e-05,0.20650000000000002,13,True,True,False,False,0.1642357909877319
integrator_x_solver,mujoco,3.12.0,0.5,4.0,1.0,0.95,0.99,Euler,CG,100,10.518120469882529,75,2.0607893278749385,0.0059858523336011335,0.006,0.014147666398866589,0.0017514166995767605,1.984860097635488e-05,6.285727806421511e-05,0.20650000000000002,13,True,True,False,False,0.18249370800913312
integrator_x_solver,mujoco,3.12.0,0.5,4.0,1.0,0.95,0.99,implicitfast,Newton,100,0.9807548112971757,5,2.06078933690003,0.005985852700907447,0.006,0.014147299092552752,0.0017514125376300036,1.8551313441146633e-05,5.813012569947047e-05,0.20650000000000002,13,True,True,False,False,0.16640591699979268
integrator_x_solver,mujoco,3.12.0,0.5,4.0,1.0,0.95,0.99,implicitfast,CG,100,10.68707823044239,62,2.060789369276397,0.005985847816283152,0.006,0.014152183716848073,0.0017515563271587986,1.4274590558194244e-05,4.982758037795588e-05,0.20650000000000002,13,True,True,False,False,0.1835211249999702
integrator_x_solver,mujoco,3.12.0,0.5,4.0,1.0,0.95,0.99,RK4,Newton,100,0.9795051237190703,3,2.1970217867142416,0.005985852450053023,0.006,0.014147549946976791,0.0025018896750103824,6.357386106263518e-06,2.176586450094622e-05,0.209,13,True,True,False,False,0.3804135409882292
integrator_x_solver,mujoco,3.12.0,0.5,4.0,1.0,0.95,0.99,RK4,CG,100,10.775556110972257,72,2.1970217929655385,0.005985855038243815,0.006,0.014144961756184897,0.0025019182272995356,5.9413197738347745e-06,2.0683506777028723e-05,0.209,13,True,True,False,False,0.4441600000136532
integrator_x_solver,mujoco,3.12.0,0.5,16.0,1.0,0.95,0.99,Euler,Newton,100,1.0057485628592853,7,5.411489255165557,0.005773537151603128,0.006,0.22646284839687203,0.12344122035860647,2.9972741762487876e-05,0.00021486509271267454,1.897,24,True,False,False,True,0.1674914580071345
integrator_x_solver,mujoco,3.12.0,0.5,16.0,1.0,0.95,0.99,Euler,CG,100,9.429892526868283,81,5.4114899791596915,0.005773537102572077,0.006,0.22646289742792297,0.12344007924429887,2.932829534958714e-05,0.00020947506605633137,1.934,24,True,False,False,True,0.18020483400323428
integrator_x_solver,mujoco,3.12.0,0.5,16.0,1.0,0.95,0.99,implicitfast,Newton,100,1.020744813796551,7,5.4114630835543,0.00577353504713287,0.006,0.2264649528671298,0.12353730037497303,3.1233957913968935e-05,0.00021404238498778615,1.9155,24,True,False,False,True,0.16725012499955483
integrator_x_solver,mujoco,3.12.0,0.5,16.0,1.0,0.95,0.99,implicitfast,CG,100,9.428142964258935,92,5.411654135037672,0.00577352665391432,0.006,0.22647334608568054,0.12318006870609056,3.086259914124312e-05,0.0002101807220965446,1.961,24,True,False,False,True,0.18261104199336842
integrator_x_solver,mujoco,3.12.0,0.5,16.0,1.0,0.95,0.99,RK4,Newton,100,1.0039990002499375,8,5.584741556633673,0.00577354045088365,0.006,0.22645954911635052,0.04463604022230775,6.815659606140834e-06,4.3960279277193005e-05,0.292,25,True,False,False,True,0.38897674999316223
integrator_x_solver,mujoco,3.12.0,0.5,16.0,1.0,0.95,0.99,RK4,CG,100,9.448387903024244,100,5.5847425838875555,0.005773538852134299,0.006,0.22646114786570132,0.04463675033276215,6.349149452716807e-06,4.7940759610025236e-05,0.292,25,True,False,False,True,0.43122224998660386
